"Year","CA","ODS","Indicador","Descripción","Value"
2010,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.4.1.1","Emisiones de CO2 de las unidades residentes por PIB","0.107023805"
2011,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.4.1.1","Emisiones de CO2 de las unidades residentes por PIB","0.101479025"
2012,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.4.1.1","Emisiones de CO2 de las unidades residentes por PIB","0.096581753"
2013,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.4.1.1","Emisiones de CO2 de las unidades residentes por PIB","0.097512249"
2014,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.4.1.1","Emisiones de CO2 de las unidades residentes por PIB","0.091770729"
2015,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.4.1.1","Emisiones de CO2 de las unidades residentes por PIB","0.091299731"
2016,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.4.1.1","Emisiones de CO2 de las unidades residentes por PIB","0.091042561"
2017,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.4.1.1","Emisiones de CO2 de las unidades residentes por PIB","0.088129614"
2018,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.4.1.1","Emisiones de CO2 de las unidades residentes por PIB","0.087517408"
2010,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.4.1.2","Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera","0.305426478"
2011,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.4.1.2","Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera","0.256492445"
2012,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.4.1.2","Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera","0.243157695"
2013,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.4.1.2","Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera","0.233449884"
2014,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.4.1.2","Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera","0.209369797"
2015,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.4.1.2","Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera","0.220948275"
2016,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.4.1.2","Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera","0.219668026"
2017,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.4.1.2","Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera","0.236163739"
2018,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura","9.4.1.2","Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera","0.236404518"
