Year,CA,ODS,Indicador,Descripción,Value
2010,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.1,,59.106329932
2011,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.1,,60.358819361
2012,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.1,,61.758062603
2013,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.1,,62.927455401
2014,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.1,,64.134829729
2015,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.1,,65.159103556
2016,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.1,,65.923953615
2017,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.1,,66.83238876
2018,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.1,,67.663929193
2010,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.2,Número de enfermeras por cada 10.000 habitantes,66.048516485
2011,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.2,Número de enfermeras por cada 10.000 habitantes,67.813407458
2012,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.2,Número de enfermeras por cada 10.000 habitantes,68.885431903
2013,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.2,Número de enfermeras por cada 10.000 habitantes,70.481195843
2014,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.2,Número de enfermeras por cada 10.000 habitantes,73.761631799
2015,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.2,Número de enfermeras por cada 10.000 habitantes,76.841355639
2016,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.2,Número de enfermeras por cada 10.000 habitantes,78.674264151
2017,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.2,Número de enfermeras por cada 10.000 habitantes,78.398123587
2018,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.2,Número de enfermeras por cada 10.000 habitantes,79.380900644
2010,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.3,Número de dentistas por cada 10.000 habitantes,9.259897855
2011,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.3,Número de dentistas por cada 10.000 habitantes,9.701858496
2012,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.3,Número de dentistas por cada 10.000 habitantes,10.882800763
2013,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.3,Número de dentistas por cada 10.000 habitantes,11.409001494
2014,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.3,Número de dentistas por cada 10.000 habitantes,11.617312144
2015,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.3,Número de dentistas por cada 10.000 habitantes,12.160127018
2016,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.3,Número de dentistas por cada 10.000 habitantes,12.321079932
2017,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.3,Número de dentistas por cada 10.000 habitantes,12.500154592
2018,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.3,Número de dentistas por cada 10.000 habitantes,12.590248685
2010,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.4,Número de farmacéuticos por cada 10.000 habitantes,16.502354698
2011,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.4,Número de farmacéuticos por cada 10.000 habitantes,16.852971712
2012,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.4,Número de farmacéuticos por cada 10.000 habitantes,17.077937596
2013,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.4,Número de farmacéuticos por cada 10.000 habitantes,17.667725413
2014,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.4,Número de farmacéuticos por cada 10.000 habitantes,18.403213131
2015,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.4,Número de farmacéuticos por cada 10.000 habitantes,18.74919738
2016,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.4,Número de farmacéuticos por cada 10.000 habitantes,19.023562135
2017,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.4,Número de farmacéuticos por cada 10.000 habitantes,19.378522301
2018,"MADRID, COMUNIDAD DE",Salud y bienestar,3.c.1.4,Número de farmacéuticos por cada 10.000 habitantes,19.499678393
