Year,CA,ODS,Indicador,Descripción,Value
2010,"MADRID, COMUNIDAD DE",Ciudades y comunidades sostenibles,11.1.1.1,,12.6609
2011,"MADRID, COMUNIDAD DE",Ciudades y comunidades sostenibles,11.1.1.1,,8.9148
2012,"MADRID, COMUNIDAD DE",Ciudades y comunidades sostenibles,11.1.1.1,,8.1897
2013,"MADRID, COMUNIDAD DE",Ciudades y comunidades sostenibles,11.1.1.1,,11.1527
2014,"MADRID, COMUNIDAD DE",Ciudades y comunidades sostenibles,11.1.1.1,,12.9426
2015,"MADRID, COMUNIDAD DE",Ciudades y comunidades sostenibles,11.1.1.1,,5.6283
2016,"MADRID, COMUNIDAD DE",Ciudades y comunidades sostenibles,11.1.1.1,,7.7536
2017,"MADRID, COMUNIDAD DE",Ciudades y comunidades sostenibles,11.1.1.1,,6.0322
2018,"MADRID, COMUNIDAD DE",Ciudades y comunidades sostenibles,11.1.1.1,,10.8195
2010,"MADRID, COMUNIDAD DE",Ciudades y comunidades sostenibles,11.1.1.2,,13.2331
2011,"MADRID, COMUNIDAD DE",Ciudades y comunidades sostenibles,11.1.1.2,,12.5871
2012,"MADRID, COMUNIDAD DE",Ciudades y comunidades sostenibles,11.1.1.2,,13.3671
2013,"MADRID, COMUNIDAD DE",Ciudades y comunidades sostenibles,11.1.1.2,,14492.0
2014,"MADRID, COMUNIDAD DE",Ciudades y comunidades sostenibles,11.1.1.2,,14.5366
2015,"MADRID, COMUNIDAD DE",Ciudades y comunidades sostenibles,11.1.1.2,,13.4906
2016,"MADRID, COMUNIDAD DE",Ciudades y comunidades sostenibles,11.1.1.2,,15.5654
2017,"MADRID, COMUNIDAD DE",Ciudades y comunidades sostenibles,11.1.1.2,,15065.0
2018,"MADRID, COMUNIDAD DE",Ciudades y comunidades sostenibles,11.1.1.2,,13525.0
