Value,Disaggregation combinations using this value,Number of indicators
10.1.1.1,1,1
10.1.1.2,1,1
10.1.1.3,1,1
10.1.1.4,1,1
10.2.1.1,1,1
10.2.1.1_1,1,1
10.4.1.1,1,1
11.1.1.1,1,1
11.1.1.2,1,1
1.2.1.1,1,1
1.2.1.1_1,1,1
1.2.1.2,1,1
1.2.1.2_1,1,1
1.2.2.1,1,1
1.2.2.1_1,1,1
1.2.2.2,1,1
1.2.2.3,1,1
13.2.1.1,1,1
13.2.1.2,1,1
1.4.1.1,2,2
1.4.1.2,2,2
1.4.1.3,2,2
1.5.1.a,1,1
16.1.4.1,1,1
17.1.1.1,1,1
2.2.2.1,2,2
2.4.1.1,1,1
3.1.2.1,1,1
3.8.1.1,1,1
3.a.1.1,1,1
3.c.1.1,1,1
3.c.1.2,1,1
3.c.1.3,1,1
3.c.1.4,1,1
4.3.1.1,1,1
4.5.1.1,1,1
4.5.1.2,2,1
4.5.1.4,1,1
4.5.1.6,1,1
5.4.1.1,1,1
5.4.1.2,1,1
5.4.1.3,1,1
5.a.1.1,2,2
5.a.1.2,2,2
5.a.1.3,2,2
8.1.1.1,1,1
8.2.1.1,1,1
8.2.1.1.b,1,1
8.5.1.2,1,1
8.5.1.3,1,1
8.9.1.1,1,1
8.9.1.2,1,1
9.2.1.1,1,1
9.2.1.2,1,1
9.2.2.2,1,1
9.2.2.2.b,1,1
9.4.1.1,1,1
9.4.1.2,1,1
9.5.1.1,1,1
